舰娘当前计分：
凯旋:1
马拉尼:3
文森斯:0
爱宕:4
莱比锡:9
神通:3
齐柏林伯爵:3
克利夫兰:28
沙恩霍斯特:0
埃克塞特:1
U47:0
============================================
楼层	用户id	评论内容
1	41526727	单推神通
2	42629654	神通 爱宕 凯旋 [s:ac:blink]
3	38967627	爱宕 齐柏林 u47
4	38634312	单推[size=130%][b]神通[/b][/size][s:ac:上]
5	60097187	克利夫兰<br/>莱比锡
6	42049992	爱宕 神通 爹
7	41818691	爱宕！神通！克爹！
8	20916435	神通 [s:ac:blink]
9	41692197	爱宕，克爹，神通
11	12800986	克利夫兰<br/>凯旋
12	42850803	克爹，莱比锡，U47
13	42946690	[s:ac:中枪]好难选<br/>凯旋 莱比锡 克爹
14	26290785	莱比锡<br/>神通
15	947246	文森斯[s:ac:blink]
16	42698782	克利夫兰 U47
17	41488960	莱比锡  克爹  u47
18	27276399	爱宕 齐柏林 U47
19	60059081	齐柏林伯爵/莱比锡/文森斯
20	41657509	莱比锡 克利夫兰 神通
21	19447362	凯旋 莱比锡
22	41749553	莱比锡 神通 克利夫兰
23	41207916	凯旋 U47
24	42693325	克列夫兰[s:ac:闪光]
25	39376941	文森斯 爱宕 神通
26	41594484	莱比锡 克利夫兰，凯旋
27	37361407	爱宕 齐柏林 U47
28	37686902	爱宕 神通 U47
29	26212310	爱宕，克里夫兰，u47
30	39201403	凯旋，克利夫兰，神通
31	42963641	爱宕 齐柏林伯爵 U47
32	7049816	爱宕 莱比锡 u47
33	41360900	莱比锡，凯旋，文森斯！
34	41346026	莱比锡<br/>神通<br/>U47
35	41500419	齐柏林伯爵<br/>克利夫兰<br/>U47
36	60141553	神通，u47，马拉尼
37	42977201	爱宕<br/>克爹<br/>神通
39	42383159	齐柏林伯爵、克利夫兰、U47
40	60122284	克利夫兰[s:ac:blink]
41	543477	凯旋<br/>克利夫兰<br/>U47
42	41560741	神通 克利夫兰 莱比锡
43	42980629	u47 神通 克利夫兰
44	34800395	克爹 U47
45	19099139	单推神通
46	42182185	神通，爹[s:a2:妮可妮可妮]
47	60018658	[b]Reply to [pid=327747671,16683389,1]Reply[/pid] Post by [uid=60059081]zjlyfwt[/uid] (2019-03-18 00:07)[/b]<br/><br/>神通。克爹。780[s:ac:上]
48	42641259	克爹，爱宕，神通
49	38782223	爱宕 克利夫兰
50	20755125	克利夫兰。神通 爱党
51	2401636	神通 克利夫兰 u47[s:ac:喘]
52	42432479	克爹,47,神通
53	25155993	单推神通[s:ac:呆]这组好强
54	43113712	爱宕 神通 克利夫兰
56	60213954	莱比锡，u47
57	42337567	爱宕  凯旋
58	42615572	克利夫兰<br/>神通<br/>u47
59	37737202	爱宕，凯旋
60	42375232	爱宕，克利夫兰，神通
62	40492241	鱼鱼 爹 大狗
63	41595461	克爹 莱比锡
64	6348061	克利夫兰，莱比锡
65	41820367	克利夫兰、
66	60185693	爱宕，莱比锡，神通
67	60032243	爱宕  莱比锡  克利夫兰
68	41485215	克利夫兰<br/>莱比锡<br/>神通
69	12862890	莱比锡<br/>神通<br/>齐柏林伯爵
70	42369529	神通，文森斯
71	41674387	齐柏林，莱比锡，沙恩霍斯特
72	16665149	爱宕，神通，齐柏林
73	42363651	凯旋 u47 神通
74	41097163	克爹，神通
75	16484607	齐柏林 克爹 神通
76	40034780	克利夫兰<br/>神通<br/>爱宕
77	60114915	克爹，饺子，U47
78	43163452	这分组怎么分的啊？爱宕齐柏林
79	39024263	克爹 神通  爱宕
80	35152450	[b]克爹[/b]，齐柏林，爱宕
81	38086341	莱比锡 克利夫兰 爱宕
82	13182004	凯旋，爱宕，神通
83	4899642	克利夫兰 埃克塞特 凯旋
84	4783194	U47   神通   凯旋
85	35146815	爱宕<br/>莱比锡<br/>埃克塞特
86	42430336	克爹，爱宕
87	60197360	爱宕 神通
88	60024318	莱比锡 克爹
89	38179010	莱比锡 克爹 犬
